Angle,AutoHitType,AutoPitchType,AwayTeam,BatterId,Batter,BatterSide,BatterTeam,Bearing,CatcherTeam,Date,Distance,ExitSpeed,HomeTeam,HorzBreak,KorBB,InducedVertBreak,PitcherId,Pitcher,PitcherTeam,PitchCall,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PlayResult,RelSpeed,SpinRate,Strikes,Temporada,Temporada_Anio,id_path,fecha_carga,auto_pitch_type_2
,,Sinker,RAM_ARA,1000444939.0,Javier Alejandro Mireles Contreras,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,12.11331,Undefined,10.34981,1000202515.0,Pablo Yuren Rodriguez,RAM_ARA,BallCalled,Right,2,4.27681,-0.82824,Undefined,87.18866,2042.783014,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
,,Curveball,RAM_ARA,1000441144.0,Miguel Delgado Uscanga,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,4.78559,Undefined,2.52654,1000324973.0,Francisco Garcia,RAM_ARA,FoulBallNotFieldable,Left,6,2.68826,-0.51822,Undefined,75.87118,2090.494088,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
,,Four-Seam,RAM_ARA,1000444939.0,Javier Alejandro Mireles Contreras,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,9.50438,Undefined,15.67528,1000324991.0,Pedro Montano,RAM_ARA,BallCalled,Right,3,3.31978,1.4604,Undefined,86.53916,2153.282821,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
,,Four-Seam,RAM_ARA,1000441147.0,Jeremy Lozano Raygoza,Left,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,5.71866,Undefined,14.10457,1000279227.0,Luis Angel Valerio,RAM_ARA,BallCalled,Right,3,2.73711,-1.29954,Undefined,90.02191,2315.528755,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,Rectas y sinkers
-12.018971,GroundBall,Curveball,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,-4.19013,RAM_ARA,2025-06-26,11.13091,86.726,NEL_BAR,-8.64,Undefined,-7.34138,1000444894.0,Edgar Daniel Melgar,RAM_ARA,InPlay,Right,3,2.00887,-0.4343,Out,67.08354,2129.049965,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
-9.001371,GroundBall,Curveball,RAM_ARA,1000441147.0,Jeremy Lozano Raygoza,Left,NEL_BAR,-12.807525,RAM_ARA,2025-06-27,18.4671,45.46151,NEL_BAR,-4.46941,Undefined,-4.02205,1000353354.0,Emiliano Ambrosio Diaz,RAM_ARA,InPlay,Right,3,3.57225,0.98134,Out,70.80117,2318.72509,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
,,Changeup,RAM_ARA,1000441147.0,Jeremy Lozano Raygoza,Left,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,3.94488,Undefined,8.82087,1000353354.0,Emiliano Ambrosio Diaz,RAM_ARA,BallCalled,Right,1,4.90368,1.46123,Undefined,83.60965,1838.003834,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
,,Curveball,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,-15.12942,Undefined,-5.63189,834960.0,Oscar Martinez,RAM_ARA,BallCalled,Right,2,1.2717,-2.28941,Undefined,74.52516,2824.843909,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
,,Four-Seam,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,11.36095,Undefined,13.11918,834960.0,Oscar Martinez,RAM_ARA,StrikeCalled,Right,3,3.22681,1.29776,Undefined,89.6747,2283.140166,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
-44.646185,GroundBall,Changeup,RAM_ARA,1000441144.0,Miguel Delgado Uscanga,Right,NEL_BAR,-9.900788,RAM_ARA,2025-06-26,3.72551,36.7282,NEL_BAR,-14.95607,Undefined,3.37603,1000324973.0,Francisco Garcia,RAM_ARA,InPlay,Left,7,2.7649,0.55147,Out,83.725,2151.246844,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
,,Sinker,RAM_ARA,1000444939.0,Javier Alejandro Mireles Contreras,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,14.06879,Undefined,11.29461,1000324991.0,Pedro Montano,RAM_ARA,FoulBallNotFieldable,Right,4,2.35283,0.94903,Undefined,88.89416,2271.682331,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
